,year_film,category,film,winner
8190,2001,BEST PICTURE,A Beautiful Mind,True
8191,2001,BEST PICTURE,Gosford Park,False
8192,2001,BEST PICTURE,In the Bedroom,False
8193,2001,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,False
8194,2001,BEST PICTURE,Moulin Rouge,False
8304,2002,BEST PICTURE,Chicago,True
8305,2002,BEST PICTURE,Gangs of New York,False
8306,2002,BEST PICTURE,The Hours,False
8307,2002,BEST PICTURE,The Lord of the Rings: The Two Towers,False
8308,2002,BEST PICTURE,The Pianist,False
8415,2003,BEST PICTURE,The Lord of the Rings: The Return of the King,True
8416,2003,BEST PICTURE,Lost in Translation,False
8417,2003,BEST PICTURE,Master and Commander: The Far Side of the World,False
8418,2003,BEST PICTURE,Mystic River,False
8419,2003,BEST PICTURE,Seabiscuit,False
8528,2004,BEST PICTURE,The Aviator,False
8529,2004,BEST PICTURE,Finding Neverland,False
8530,2004,BEST PICTURE,Million Dollar Baby,True
8531,2004,BEST PICTURE,Ray,False
8532,2004,BEST PICTURE,Sideways,False
8639,2005,BEST PICTURE,Brokeback Mountain,False
8640,2005,BEST PICTURE,Capote,False
8641,2005,BEST PICTURE,Crash,True
8642,2005,BEST PICTURE,"Good Night, and Good Luck.",False
8643,2005,BEST PICTURE,Munich,False
8751,2006,BEST PICTURE,Babel,False
8752,2006,BEST PICTURE,The Departed,True
8753,2006,BEST PICTURE,Letters from Iwo Jima,False
8754,2006,BEST PICTURE,Little Miss Sunshine,False
8755,2006,BEST PICTURE,The Queen,False
8866,2007,BEST PICTURE,Atonement,False
8867,2007,BEST PICTURE,Juno,False
8868,2007,BEST PICTURE,Michael Clayton,False
8869,2007,BEST PICTURE,No Country for Old Men,True
8870,2007,BEST PICTURE,There Will Be Blood,False
8978,2008,BEST PICTURE,The Curious Case of Benjamin Button,False
8979,2008,BEST PICTURE,Frost/Nixon,False
8980,2008,BEST PICTURE,Milk,False
8981,2008,BEST PICTURE,The Reader,False
8982,2008,BEST PICTURE,Slumdog Millionaire,True
9095,2009,BEST PICTURE,Avatar,False
9096,2009,BEST PICTURE,The Blind Side,False
9097,2009,BEST PICTURE,District 9,False
9098,2009,BEST PICTURE,An Education,False
9099,2009,BEST PICTURE,The Hurt Locker,True
9100,2009,BEST PICTURE,Inglourious Basterds,False
9101,2009,BEST PICTURE,Precious: Based on the Novel 'Push' by Sapphire,False
9102,2009,BEST PICTURE,A Serious Man,False
9103,2009,BEST PICTURE,Up,False
9104,2009,BEST PICTURE,Up in the Air,False
9217,2010,BEST PICTURE,Black Swan,False
9218,2010,BEST PICTURE,The Fighter,False
9219,2010,BEST PICTURE,Inception,False
9220,2010,BEST PICTURE,The Kids Are All Right,False
9221,2010,BEST PICTURE,The King's Speech,True
9222,2010,BEST PICTURE,127 Hours,False
9223,2010,BEST PICTURE,The Social Network,False
9224,2010,BEST PICTURE,Toy Story 3,False
9225,2010,BEST PICTURE,True Grit,False
9226,2010,BEST PICTURE,Winter's Bone,False
9341,2011,BEST PICTURE,The Artist,True
9342,2011,BEST PICTURE,The Descendants,False
9343,2011,BEST PICTURE,Extremely Loud & Incredibly Close,False
9344,2011,BEST PICTURE,The Help,False
9345,2011,BEST PICTURE,Hugo,False
9346,2011,BEST PICTURE,Midnight in Paris,False
9347,2011,BEST PICTURE,Moneyball,False
9348,2011,BEST PICTURE,The Tree of Life,False
9349,2011,BEST PICTURE,War Horse,False
9461,2012,BEST PICTURE,Amour,False
9462,2012,BEST PICTURE,Argo,True
9463,2012,BEST PICTURE,Beasts of the Southern Wild,False
9464,2012,BEST PICTURE,Django Unchained,False
9465,2012,BEST PICTURE,Les Misérables,False
9466,2012,BEST PICTURE,Life of Pi,False
9467,2012,BEST PICTURE,Lincoln,False
9468,2012,BEST PICTURE,Silver Linings Playbook,False
9469,2012,BEST PICTURE,Zero Dark Thirty,False
9587,2013,BEST PICTURE,American Hustle,False
9588,2013,BEST PICTURE,Captain Phillips,False
9589,2013,BEST PICTURE,Dallas Buyers Club,False
9590,2013,BEST PICTURE,Gravity,False
9591,2013,BEST PICTURE,Her,False
9592,2013,BEST PICTURE,Nebraska,False
9593,2013,BEST PICTURE,Philomena,False
9594,2013,BEST PICTURE,12 Years a Slave,True
9595,2013,BEST PICTURE,The Wolf of Wall Street,False
9713,2014,BEST PICTURE,American Sniper,False
9714,2014,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),True
9715,2014,BEST PICTURE,Boyhood,False
9716,2014,BEST PICTURE,The Grand Budapest Hotel,False
9717,2014,BEST PICTURE,The Imitation Game,False
9718,2014,BEST PICTURE,Selma,False
9719,2014,BEST PICTURE,The Theory of Everything,False
9720,2014,BEST PICTURE,Whiplash,False
9838,2015,BEST PICTURE,The Big Short,False
9839,2015,BEST PICTURE,Bridge of Spies,False
9840,2015,BEST PICTURE,Brooklyn,False
9841,2015,BEST PICTURE,Mad Max: Fury Road,False
9842,2015,BEST PICTURE,The Martian,False
9843,2015,BEST PICTURE,The Revenant,False
9844,2015,BEST PICTURE,Room,False
9845,2015,BEST PICTURE,Spotlight,True
9962,2016,BEST PICTURE,Arrival,False
9963,2016,BEST PICTURE,Fences,False
9964,2016,BEST PICTURE,Hacksaw Ridge,False
9965,2016,BEST PICTURE,Hell or High Water,False
9966,2016,BEST PICTURE,Hidden Figures,False
9967,2016,BEST PICTURE,La La Land,False
9968,2016,BEST PICTURE,Lion,False
9969,2016,BEST PICTURE,Manchester by the Sea,False
9970,2016,BEST PICTURE,Moonlight,True
10088,2017,BEST PICTURE,Call Me by Your Name,False
10089,2017,BEST PICTURE,Darkest Hour,False
10090,2017,BEST PICTURE,Dunkirk,False
10091,2017,BEST PICTURE,Get Out,False
10092,2017,BEST PICTURE,Lady Bird,False
10093,2017,BEST PICTURE,Phantom Thread,False
10094,2017,BEST PICTURE,The Post,False
10095,2017,BEST PICTURE,The Shape of Water,True
10096,2017,BEST PICTURE,"Three Billboards outside Ebbing, Missouri",False
10215,2018,BEST PICTURE,Black Panther,False
10216,2018,BEST PICTURE,BlacKkKlansman,False
10217,2018,BEST PICTURE,Bohemian Rhapsody,False
10218,2018,BEST PICTURE,The Favourite,False
10219,2018,BEST PICTURE,Green Book,True
10220,2018,BEST PICTURE,Roma,False
10221,2018,BEST PICTURE,A Star Is Born,False
10222,2018,BEST PICTURE,Vice,False
10342,2019,BEST PICTURE,Ford v Ferrari,False
10343,2019,BEST PICTURE,The Irishman,False
10344,2019,BEST PICTURE,Jojo Rabbit,False
10345,2019,BEST PICTURE,Joker,False
10346,2019,BEST PICTURE,Little Women,False
10347,2019,BEST PICTURE,Marriage Story,False
10348,2019,BEST PICTURE,1917,False
10349,2019,BEST PICTURE,Once upon a Time...in Hollywood,False
10350,2019,BEST PICTURE,Parasite,True
